Age,Annual_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Employment_Years,Num_Dependents,Existing_Debt,Education_Level,Property_Ownership,Loan_Purpose,Num_Prev_Loans,Num_Late_Payments,Debt_To_Income,Loan_To_Income,Loan_Approved
59,171295,125667,36,508,31,1,52282,2,1,3,3,2,0.305,0.734,0
49,158669,139034,24,464,3,0,33464,0,1,2,7,5,0.211,0.876,0
35,27659,149923,36,593,4,5,67806,0,1,2,0,6,2.451,5.42,1
63,111516,122626,60,818,7,2,41994,3,1,3,2,1,0.377,1.1,0
28,99567,130180,48,377,21,4,25594,0,0,2,3,5,0.257,1.307,0
41,40037,57349,60,733,6,4,52563,1,0,2,5,4,1.313,1.432,0
59,151498,10730,48,376,21,3,28386,2,1,1,5,5,0.187,0.071,1
39,37109,149993,48,347,29,1,66652,0,1,2,0,0,1.796,4.042,0
43,47010,24023,12,381,15,1,17540,1,1,0,5,9,0.373,0.511,0
31,33787,131796,24,508,14,4,33756,2,1,1,7,6,0.999,3.901,1
31,164544,86533,60,744,4,0,43426,3,0,0,1,7,0.264,0.526,0
44,179455,88286,48,821,2,1,5587,2,0,3,7,6,0.031,0.492,0
56,86709,46979,60,328,22,0,49039,3,0,2,4,8,0.566,0.542,0
60,59518,27837,60,603,9,0,10269,2,0,0,5,0,0.173,0.468,1
44,78909,109975,48,764,4,0,6088,0,1,2,7,9,0.077,1.394,1
23,43351,25923,36,801,22,0,42044,3,0,0,2,8,0.97,0.598,0
42,40282,13876,24,745,14,3,27081,3,1,1,3,2,0.672,0.344,0
22,177850,65973,24,789,17,3,61388,3,0,3,7,1,0.345,0.371,1
44,180336,138959,12,727,24,4,10543,0,0,0,0,5,0.058,0.771,0
64,30075,47422,12,658,7,3,3005,0,1,1,3,4,0.1,1.577,1
50,53365,56413,12,390,30,5,37203,2,0,3,4,3,0.697,1.057,0
58,36002,107484,24,352,20,1,16220,2,0,0,7,3,0.451,2.986,0
22,38947,138913,36,503,1,5,32696,0,0,0,3,7,0.839,3.567,0
41,119840,33756,24,455,21,3,79683,0,0,1,3,9,0.665,0.282,0
53,141219,76576,24,301,7,1,46381,3,1,3,0,2,0.328,0.542,0
32,103610,123248,24,656,22,1,47984,2,0,3,7,0,0.463,1.19,0
42,77142,15304,24,357,31,0,76,2,0,1,4,4,0.001,0.198,1
64,81307,35341,36,553,7,4,18946,3,0,2,2,7,0.233,0.435,1
45,160565,140830,12,479,3,0,23471,3,1,1,0,2,0.146,0.877,1
47,75085,132039,60,792,29,0,61531,3,1,3,6,1,0.819,1.759,1
62,59228,137447,12,334,18,5,38738,1,0,1,4,0,0.654,2.321,0
48,187727,104485,12,374,22,3,40720,1,0,2,4,3,0.217,0.557,0
36,68472,27092,60,588,17,5,24440,0,0,1,3,1,0.357,0.396,0
35,74437,136562,24,670,28,3,11862,2,1,1,1,7,0.159,1.835,1
64,84711,8729,36,628,22,5,68273,3,0,0,1,9,0.806,0.103,0
23,162888,142046,36,603,32,1,21788,3,0,2,7,8,0.134,0.872,0
57,102175,123222,12,520,17,3,25522,2,1,3,2,9,0.25,1.206,0
27,89307,90216,60,463,32,3,70185,1,1,2,3,0,0.786,1.01,0
41,71733,88860,48,779,6,5,69404,2,1,3,1,1,0.968,1.239,0
29,153202,101870,24,754,27,2,52289,0,0,3,0,5,0.341,0.665,0
59,120028,26398,12,674,0,1,7824,1,0,0,7,9,0.065,0.22,0
38,167312,39650,36,519,33,1,7799,2,0,2,2,6,0.047,0.237,0
24,117493,108889,60,553,18,2,45147,2,1,0,3,1,0.384,0.927,0
45,150149,8159,60,487,30,5,8614,0,0,1,5,7,0.057,0.054,0
34,188834,103162,12,490,12,5,25147,2,0,2,0,9,0.133,0.546,0
29,33259,107834,48,688,23,1,76637,1,1,1,1,8,2.304,3.242,1
46,153775,26638,36,514,4,5,20914,3,1,2,1,7,0.136,0.173,1
22,39849,6073,12,674,22,4,63699,3,0,3,1,8,1.599,0.152,0
40,106768,34320,48,385,18,4,9615,3,1,1,1,5,0.09,0.321,1
48,131108,39924,60,773,0,2,50785,1,0,2,4,6,0.387,0.305,0
27,114709,73116,24,830,32,3,57811,2,0,2,5,5,0.504,0.637,0
64,79869,7159,36,346,32,4,79017,2,0,1,2,6,0.989,0.09,0
28,151888,53940,36,364,31,5,46898,2,1,0,2,2,0.309,0.355,1
55,88095,84436,48,774,27,2,55505,2,0,2,1,3,0.63,0.958,0
34,142886,19678,12,445,11,4,76031,3,1,0,2,8,0.532,0.138,0
37,95910,148093,60,681,8,0,146,1,1,0,5,2,0.002,1.544,1
56,48567,142844,48,365,10,2,40275,0,1,0,0,1,0.829,2.941,0
60,60292,72163,24,816,32,1,15977,1,1,0,0,6,0.265,1.197,1
24,99813,56137,24,392,18,4,41565,2,0,0,6,5,0.416,0.562,0
22,122136,66497,24,725,33,1,33945,2,1,3,2,2,0.278,0.544,1
26,76631,105485,48,767,6,2,2594,1,0,0,1,5,0.034,1.377,1
62,34885,110468,60,393,30,4,76610,1,0,3,3,6,2.196,3.167,0
24,91314,5901,36,432,1,1,57655,3,0,2,5,5,0.631,0.065,0
49,90087,92980,12,733,18,3,27431,2,0,3,1,0,0.304,1.032,1
38,185237,112594,36,640,31,3,27571,1,1,3,4,0,0.149,0.608,0
46,120998,7881,60,613,9,0,65971,2,1,0,7,8,0.545,0.065,1
64,74812,34863,36,511,7,5,61797,1,0,2,3,5,0.826,0.466,0
54,83643,141694,48,819,25,2,43937,2,0,2,5,1,0.525,1.694,0
30,69900,137450,24,458,29,5,59643,1,0,2,4,0,0.853,1.966,0
56,199018,50201,60,567,10,5,60051,2,1,1,2,1,0.302,0.252,0
34,163923,64251,60,773,19,1,67902,0,1,3,4,7,0.414,0.392,0
51,41288,77572,36,709,19,0,77903,3,0,0,2,4,1.887,1.879,0
35,97692,44255,48,773,8,2,76990,0,0,1,4,6,0.788,0.453,0
28,163440,68212,36,655,7,3,75204,3,0,0,3,6,0.46,0.417,0
34,110436,55210,36,492,14,5,68951,3,1,1,4,1,0.624,0.5,1
43,71403,130629,60,570,33,1,75768,1,0,2,1,3,1.061,1.829,0
60,116170,27499,36,413,23,5,29039,0,1,1,2,1,0.25,0.237,1
41,34168,107552,24,822,32,4,25568,3,1,2,0,6,0.748,3.148,0
36,74879,66360,36,354,26,3,37459,2,1,1,4,4,0.5,0.886,0
38,84871,140675,24,364,20,5,7669,1,0,0,2,0,0.09,1.658,1
44,57174,132466,60,571,4,4,35516,1,1,0,0,1,0.621,2.317,1
46,162653,90473,48,801,34,4,62484,2,1,1,2,5,0.384,0.556,1
45,135155,148704,24,661,20,1,68197,2,0,3,7,3,0.505,1.1,0
61,96853,96873,48,445,3,1,23333,3,0,3,6,6,0.241,1.0,0
49,89046,70756,48,508,15,4,55611,2,0,1,2,1,0.625,0.795,0
35,74678,61344,24,585,30,0,47941,1,1,3,7,1,0.642,0.821,1
21,51649,143421,60,309,25,5,38875,2,1,0,0,5,0.753,2.777,1
45,152795,76154,12,485,34,4,12698,0,0,3,0,7,0.083,0.498,0
27,113668,32464,48,763,5,4,61826,1,1,1,3,0,0.544,0.286,1
29,170639,126897,48,433,32,1,31408,2,0,3,5,4,0.184,0.744,0
44,114906,42344,60,470,20,5,78845,1,0,1,6,0,0.686,0.369,0
21,121019,88791,60,512,15,2,15133,3,1,0,4,5,0.125,0.734,0
64,103002,137534,36,829,33,3,73746,0,1,2,4,6,0.716,1.335,1
28,53803,125209,60,801,14,1,36126,3,1,0,6,5,0.671,2.327,1
44,174302,86441,48,326,5,5,33043,0,1,0,2,8,0.19,0.496,0
31,173934,95456,24,367,1,5,4078,2,0,1,6,2,0.023,0.549,0
37,199427,86788,12,707,23,0,53906,1,0,0,1,7,0.27,0.435,0
28,187331,19175,36,408,27,3,11137,2,1,0,7,2,0.059,0.102,1
55,55795,142263,24,373,0,1,29350,3,1,3,1,6,0.526,2.55,0
55,33770,88434,12,561,0,1,4698,1,1,1,5,4,0.139,2.619,0
53,36093,89518,12,667,27,2,33132,2,0,3,2,0,0.918,2.48,1
25,156265,71537,12,536,19,0,10165,2,0,1,3,3,0.065,0.458,0
62,125311,120721,24,665,7,0,794,1,1,3,0,8,0.006,0.963,1
59,42569,52645,36,585,0,5,13646,1,0,3,2,7,0.321,1.237,0
61,36190,28283,36,677,25,5,5870,3,0,2,7,2,0.162,0.782,0
48,87824,91971,12,675,24,1,30736,0,0,0,4,1,0.35,1.047,1
27,198824,97759,24,375,9,2,58084,0,0,3,1,8,0.292,0.492,1
29,188399,107780,12,308,11,1,16211,1,1,2,7,0,0.086,0.572,0
28,67070,35734,60,495,6,4,59538,0,1,3,1,8,0.888,0.533,0
32,65197,5515,36,589,11,5,7377,3,1,3,1,6,0.113,0.085,0
54,27261,115782,48,360,16,4,8861,0,1,2,3,1,0.325,4.247,0
53,182584,71727,12,688,4,2,17821,1,0,2,4,4,0.098,0.393,1
43,162788,114164,60,307,13,1,78488,3,1,2,3,1,0.482,0.701,0
44,111795,51216,36,668,33,5,74583,1,1,0,0,4,0.667,0.458,0
57,53933,76833,24,344,16,2,26953,3,1,0,2,6,0.5,1.425,0
55,160450,63755,36,643,34,1,36801,3,1,3,2,4,0.229,0.397,1
64,65583,32856,24,674,0,1,18277,1,1,0,6,1,0.279,0.501,0
60,137082,78870,24,326,14,4,22628,2,0,2,1,4,0.165,0.575,0
42,110371,142080,12,492,18,3,27802,1,1,1,6,9,0.252,1.287,1
47,185105,12987,12,656,4,0,63497,3,0,0,1,5,0.343,0.07,0
55,180072,101502,36,361,18,5,69814,1,0,2,0,4,0.388,0.564,0
21,136032,139404,60,361,4,0,53702,1,0,2,7,1,0.395,1.025,0
55,67604,71323,36,721,11,2,28677,3,0,2,3,5,0.424,1.055,0
57,120074,14873,48,679,18,0,7500,0,0,2,5,5,0.062,0.124,1
34,98869,110219,24,576,11,4,4015,3,0,3,5,1,0.041,1.115,1
23,30410,10033,24,730,11,3,58812,1,1,2,5,3,1.934,0.33,0
21,108375,78324,12,414,17,5,7826,3,0,2,4,6,0.072,0.723,0
25,121055,20689,60,420,33,1,9201,3,1,3,0,0,0.076,0.171,0
46,162868,114756,12,824,32,1,29048,0,0,0,2,0,0.178,0.705,1
34,111716,5066,48,715,17,4,19941,2,0,1,2,5,0.178,0.045,0
59,79245,119159,36,462,28,5,58418,1,0,3,3,6,0.737,1.504,0
47,68056,12533,36,636,4,0,65689,1,1,3,6,4,0.965,0.184,1
29,173781,120828,60,678,24,1,41541,0,0,0,0,9,0.239,0.695,1
35,83557,64658,12,623,23,0,49939,3,0,0,4,7,0.598,0.774,0
35,42543,43498,12,472,28,4,70422,2,1,2,0,3,1.655,1.022,0
46,193490,114028,48,363,32,1,23950,1,0,0,0,2,0.124,0.589,0
62,121038,16772,36,400,9,2,67803,2,0,1,3,6,0.56,0.139,1
33,172796,94385,12,621,32,3,20642,2,0,3,7,3,0.119,0.546,1
52,28828,17940,60,365,22,0,66506,3,1,1,4,0,2.307,0.622,0
59,141656,123027,36,757,10,5,41607,3,0,2,5,7,0.294,0.868,1
52,42087,21932,48,752,23,0,31288,3,0,1,2,4,0.743,0.521,1
24,168677,29648,60,558,23,0,14450,1,1,2,7,7,0.086,0.176,0
50,56337,37966,24,725,6,0,5618,2,1,1,1,7,0.1,0.674,1
57,161554,47598,48,477,20,4,34263,2,0,3,6,4,0.212,0.295,0
43,90333,149870,60,579,19,4,67583,1,0,1,5,7,0.748,1.659,0
59,161535,66084,12,643,9,5,74900,0,0,0,4,6,0.464,0.409,1
35,95448,136250,24,316,24,4,28794,3,0,1,2,2,0.302,1.427,0
63,29648,22118,48,595,14,5,13091,1,1,3,5,3,0.442,0.746,0
49,155576,27616,12,501,5,5,68422,3,1,2,7,6,0.44,0.178,0
56,58623,136870,24,493,1,4,15161,2,1,1,7,3,0.259,2.335,0
33,60634,12601,36,448,11,1,4158,1,0,1,3,5,0.069,0.208,0
52,139598,30363,12,674,3,4,27663,0,1,0,6,1,0.198,0.218,0
27,74334,7795,60,334,22,1,6733,3,1,2,4,1,0.091,0.105,0
42,93648,102462,48,668,12,2,32001,2,0,2,4,2,0.342,1.094,0
48,47054,107892,24,328,16,4,39128,2,0,2,2,9,0.832,2.293,0
22,95028,77833,12,520,30,2,49630,0,0,3,2,6,0.522,0.819,0
62,47207,8084,36,352,15,4,9329,0,0,3,0,2,0.198,0.171,0
26,106554,100865,48,652,25,2,53105,3,0,0,7,2,0.498,0.947,0
48,177458,5731,48,691,27,3,63436,2,0,1,0,3,0.357,0.032,1
48,108276,137201,12,375,0,2,69579,0,1,3,4,9,0.643,1.267,0
64,77781,6605,36,793,11,1,14242,1,0,2,1,5,0.183,0.085,0
64,86035,82506,24,821,19,0,27133,0,0,1,3,0,0.315,0.959,0
40,33210,49130,12,416,1,5,24740,1,1,1,2,5,0.745,1.479,0
50,69363,73469,24,579,14,2,30976,2,1,1,0,7,0.447,1.059,0
31,103279,95436,48,474,21,0,40067,3,1,0,3,7,0.388,0.924,0
48,178504,117341,24,594,31,3,11231,2,1,3,6,5,0.063,0.657,1
45,159393,136965,36,750,19,3,66105,2,1,3,5,5,0.415,0.859,1
59,106348,104694,60,817,32,1,3328,2,0,1,5,2,0.031,0.984,1
53,193455,24773,36,320,14,1,25261,2,0,0,7,1,0.131,0.128,1
21,138816,9239,24,372,2,2,25262,3,1,0,4,6,0.182,0.067,0
47,148053,25863,12,335,28,4,3280,0,1,3,2,7,0.022,0.175,1
33,191892,56415,48,806,26,3,31742,3,1,3,7,9,0.165,0.294,1
61,91262,73968,60,532,4,0,3590,3,1,0,5,5,0.039,0.811,1
23,159832,65430,12,796,30,4,50226,3,0,2,6,4,0.314,0.409,1
59,178262,6515,12,505,21,3,13570,3,1,0,2,3,0.076,0.037,0
26,92411,102206,36,725,34,2,9533,0,1,2,0,0,0.103,1.106,1
28,48377,61240,24,343,6,3,13366,2,0,3,5,8,0.276,1.266,1
47,63211,10586,36,390,5,1,76368,0,0,0,1,9,1.208,0.167,0
29,28744,125419,24,769,25,0,28325,0,0,0,5,3,0.985,4.363,0
57,49995,127374,36,766,0,0,34798,2,1,0,2,1,0.696,2.548,0
53,173049,36186,12,753,18,1,39453,0,1,0,1,3,0.228,0.209,1
62,59542,31928,48,632,6,4,22849,3,0,1,3,4,0.384,0.536,1
