fare_pkr,trip_duration_min,driver_rating,surge_multiplier,hour,day_of_week,month,quarter,is_weekend,is_holiday,hour_sin,hour_cos,month_sin,month_cos,city_Karachi,city_Lahore,city_Peshawar,city_Quetta,vehicle_type_SUV,vehicle_type_Sedan,vehicle_type_Van,weather_Foggy,weather_Rainy,weather_Unknown,weather_Windy,effective_fare,fare_per_min,is_peak_hour,is_night_ride,is_high_surge,fare_efficiency
411.86,11.2,4.0,1.0,0,6,1,1,1,0,0.0,1.0,0.5,0.866025,0,0,1,0,0,1,0,0,1,0,0,411.86,36.7732,0,1,0,411.86
664.7,21.6,4.2,1.0,6,6,1,1,1,0,1.0,0.0,0.5,0.866025,0,0,0,1,0,1,0,0,0,0,0,664.7,30.7731,0,0,0,664.7
576.36,33.3,4.3,1.0,12,6,1,1,1,0,0.0,-1.0,0.5,0.866025,0,0,0,0,0,0,0,0,0,0,0,576.36,17.3081,0,0,0,576.36
673.6,33.7,4.2,1.0,18,6,1,1,1,0,-1.0,-0.0,0.5,0.866025,0,0,0,1,0,0,0,1,0,0,0,673.6,19.9881,1,0,0,673.6
238.85,16.1,4.3,1.0,0,0,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,0,1,0,1,0,0,0,1,0,238.85,14.8354,0,1,0,238.85
79.42,42.9,4.1,1.0,6,0,1,1,0,0,1.0,0.0,0.5,0.866025,0,1,0,0,0,1,0,1,0,0,0,79.42,1.8513,0,0,0,79.42
503.01,10.9,3.5,2.0,12,0,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,0,0,0,0,1,0,0,0,0,1006.02,46.1477,0,0,1,251.505
364.2,48.3,3.7,1.0,18,0,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,0,0,0,0,0,0,0,0,0,364.2,7.5404,1,0,0,364.2
101.77,6.0,4.3,1.0,0,1,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,0,0,0,1,0,0,0,0,0,101.77,16.9617,0,1,0,101.77
796.1,7.2,4.8,1.0,6,1,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,0,1,0,1,0,0,1,0,0,796.1,110.5694,0,0,0,796.1
695.1,1.2,5.0,1.0,12,1,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,1,0,0,1,0,0,0,0,0,695.1,579.25,0,0,0,695.1
525.52,34.9,4.2,1.0,18,1,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,0,0,1,0,0,0,0,0,0,525.52,15.0579,1,0,0,525.52
273.11,11.9,3.9,1.2,0,2,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,0,1,0,1,0,0,0,0,1,327.73,22.9504,0,1,0,227.5916666666667
