Age,Annual_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Employment_Years,Num_Credit_Lines,Debt_To_Income_Ratio,Num_Late_Payments,Has_Mortgage,Education,Loan_Purpose,Marital_Status,Loan_Default
60,98484,12490,36,388,12,4,0.24,2,1,Master,Education,Single,0
50,138747,29502,48,710,12,3,0.18,4,1,High School,Personal,Married,0
36,33026,40757,60,540,23,2,0.53,0,0,Bachelor,Business,Single,0
64,88309,46111,36,522,23,2,0.1,8,1,Bachelor,Home,Married,0
29,65927,88245,24,767,13,8,0.19,7,1,Master,Education,Single,0
42,95414,63645,36,621,11,1,0.17,9,0,Bachelor,Business,Single,0
60,77535,64055,60,674,20,8,0.3,1,0,Bachelor,Personal,Single,0
40,62946,13998,12,411,12,9,0.24,9,1,High School,Personal,Single,0
44,146503,33906,36,826,17,6,0.48,0,1,Master,Business,Single,0
32,76561,75192,48,711,12,1,0.47,3,1,Bachelor,Personal,Married,0
32,30377,55477,48,568,3,10,0.25,8,0,Master,Personal,Single,0
45,73592,41901,48,551,22,12,0.31,7,1,High School,Business,Married,0
57,27347,96271,12,673,29,7,0.17,2,1,High School,Education,Married,1
61,53776,57021,60,749,21,5,0.45,9,1,High School,Personal,Single,0
45,23783,34092,24,836,9,9,0.29,5,1,Bachelor,Personal,Single,1
24,75798,6242,60,667,22,7,0.13,8,0,High School,Personal,Married,0
43,24298,6831,12,554,4,5,0.13,9,0,High School,Personal,Single,1
23,90204,55721,48,762,17,13,0.24,7,1,High School,Personal,Married,0
45,106207,33511,60,567,7,2,0.5,9,0,High School,Business,Married,1
51,120356,77782,24,425,13,14,0.07,4,1,High School,Business,Single,0
59,75161,23302,48,692,27,4,0.2,8,0,High School,Business,Married,0
23,80652,60568,24,633,1,2,0.15,8,0,Master,Medical,Divorced,0
42,54484,8232,36,667,27,9,0.62,2,0,Bachelor,Business,Single,0
54,118614,56507,24,755,7,2,0.47,7,1,Bachelor,Personal,Single,0
33,149572,81508,48,366,15,2,0.19,3,1,PhD,Personal,Married,0
43,132695,15683,36,365,6,2,0.17,9,0,Bachelor,Home,Divorced,0
46,40922,28664,48,699,2,1,0.56,6,1,Master,Home,Single,0
48,54028,38172,48,586,28,9,0.16,9,0,High School,Personal,Single,0
63,131461,88641,36,485,3,8,0.65,7,1,Bachelor,Personal,Single,1
49,40316,69340,24,583,28,2,0.22,6,0,Bachelor,Business,Single,0
37,96996,92236,12,815,6,2,0.1,4,0,Bachelor,Business,Single,0
36,36968,16017,12,536,3,5,0.46,0,1,Bachelor,Business,Single,0
24,50266,41613,12,317,8,12,0.42,7,1,High School,Business,Married,1
58,145679,91130,12,713,22,13,0.65,4,0,Master,Personal,Divorced,0
28,115745,81920,60,308,16,14,0.53,2,1,Bachelor,Personal,Married,0
42,44000,35348,12,719,16,12,0.31,1,0,High School,Education,Married,0
30,143239,21448,36,328,19,14,0.46,2,0,Bachelor,Home,Single,0
60,34011,14491,12,647,13,4,0.54,8,1,Master,Personal,Single,0
39,22866,83648,48,749,13,2,0.36,1,1,High School,Education,Married,0
25,132669,63759,12,679,28,8,0.21,9,1,High School,Business,Married,0
46,25898,49553,24,665,24,8,0.18,0,1,Master,Personal,Married,1
35,38395,5968,36,526,12,13,0.23,1,0,PhD,Medical,Single,0
30,59019,5368,36,417,3,4,0.56,1,0,High School,Business,Married,0
47,123243,78960,60,711,12,14,0.28,4,0,PhD,Education,Single,0
23,24006,40010,48,655,20,4,0.22,0,1,Bachelor,Business,Married,0
41,54393,59154,36,553,16,9,0.53,9,1,PhD,Personal,Single,0
49,30956,40851,24,842,14,4,0.07,7,0,Bachelor,Education,Divorced,0
28,70042,30496,12,743,29,10,0.41,1,1,Master,Business,Single,0
29,116199,35936,36,380,17,11,0.57,5,1,Master,Personal,Divorced,1
56,26078,83858,24,345,10,9,0.3,4,1,High School,Education,Divorced,1
35,49631,72005,12,348,3,3,0.21,1,0,High School,Personal,Married,0
38,115676,42493,60,748,27,2,0.35,9,0,Bachelor,Personal,Divorced,0
57,141724,74795,36,706,19,11,0.48,0,1,High School,Medical,Single,0
61,82901,41390,36,582,10,8,0.36,5,0,Bachelor,Personal,Married,0
25,127227,15292,24,772,9,12,0.05,5,0,PhD,Education,Married,0
23,89497,97377,48,715,21,3,0.1,2,0,High School,Home,Single,0
27,114813,33365,60,420,12,13,0.48,7,0,Bachelor,Personal,Married,0
63,137192,22207,48,302,21,2,0.29,8,0,Bachelor,Business,Single,1
25,61574,27912,36,615,7,13,0.52,2,1,Bachelor,Education,Married,0
50,138494,85771,48,759,27,11,0.44,8,0,High School,Business,Divorced,0
39,51417,61572,12,526,12,8,0.4,7,1,High School,Education,Married,0
47,108020,24276,60,378,8,8,0.59,4,1,Master,Business,Single,1
55,103639,10534,48,843,29,5,0.06,5,0,Master,Personal,Divorced,0
31,85006,97005,12,370,0,9,0.14,0,0,Master,Personal,Single,0
57,114881,40670,24,496,0,11,0.42,4,0,Master,Education,Divorced,0
35,131862,67147,48,357,14,6,0.09,9,0,Bachelor,Personal,Divorced,0
52,59454,41486,60,723,21,5,0.44,9,1,Bachelor,Medical,Divorced,0
36,21587,70557,12,768,3,12,0.64,6,1,Bachelor,Education,Married,0
29,141688,39268,48,347,26,3,0.58,0,1,High School,Personal,Married,1
35,128107,86335,24,734,19,7,0.4,9,0,Bachelor,Personal,Married,0
44,135584,31336,48,484,0,14,0.59,8,1,High School,Personal,Married,0
61,74710,8641,12,464,24,9,0.12,6,1,Bachelor,Education,Single,1
42,143157,92132,48,630,11,4,0.32,3,0,High School,Medical,Single,0
37,106567,37959,60,629,10,11,0.31,3,0,Bachelor,Personal,Married,0
39,111748,18306,36,420,18,7,0.25,9,0,Bachelor,Personal,Married,0
45,95886,51182,12,512,14,12,0.05,6,1,Bachelor,Business,Married,0
47,38816,79123,12,806,20,3,0.58,5,0,Bachelor,Personal,Married,0
46,105824,61326,12,467,9,11,0.52,2,1,Master,Business,Married,0
62,49432,26498,12,845,0,2,0.44,8,0,High School,Business,Married,0
50,129758,75198,48,726,23,13,0.13,5,1,Bachelor,Business,Single,0
36,68617,32197,60,520,2,11,0.28,1,1,Bachelor,Business,Single,0
22,92373,25719,24,309,13,1,0.6,9,0,PhD,Business,Single,1
46,54217,95201,60,419,14,6,0.42,1,1,Bachelor,Business,Married,0
28,40884,30032,12,546,0,5,0.41,0,0,High School,Personal,Single,1
30,25454,64624,48,659,9,2,0.6,4,0,High School,Business,Married,1
45,94960,83177,48,520,21,13,0.39,9,0,High School,Business,Single,0
22,122421,46964,12,805,0,13,0.41,5,1,Bachelor,Personal,Single,0
29,127173,35028,48,357,14,3,0.26,2,1,Master,Personal,Married,0
45,63618,59646,12,759,2,9,0.27,3,1,High School,Personal,Single,0
32,103948,86187,60,427,20,3,0.46,4,0,High School,Personal,Married,1
38,82671,13536,36,385,19,7,0.24,3,1,High School,Business,Divorced,0
29,67111,61747,48,403,22,1,0.39,8,1,High School,Personal,Married,0
56,59613,50712,12,442,21,7,0.22,2,0,Master,Business,Married,0
56,105678,11273,12,504,11,9,0.15,4,0,Master,Business,Married,0
54,140592,76820,48,337,18,12,0.32,6,0,High School,Business,Single,1
26,122928,96228,24,662,15,11,0.18,6,0,High School,Education,Married,0
63,144917,79353,12,608,26,8,0.59,5,0,Master,Business,Single,1
60,79993,99491,48,351,7,7,0.23,8,0,High School,Personal,Single,0
62,148652,97091,12,300,23,10,0.41,6,0,Bachelor,Personal,Single,0
49,28848,90914,24,310,13,14,0.21,3,1,Master,Personal,Married,0
28,134853,55830,36,513,17,8,0.2,9,0,Bachelor,Business,Married,0
30,98672,22127,24,817,22,13,0.26,8,0,High School,Personal,Divorced,0
29,139279,88488,60,714,29,4,0.6,5,0,High School,Business,Married,0
33,86125,16539,48,307,0,2,0.28,0,0,Master,Medical,Single,1
55,106444,51761,24,304,1,14,0.54,8,0,High School,Personal,Married,1
54,137509,51219,36,661,23,14,0.17,6,1,Bachelor,Home,Married,0
44,81602,19692,12,411,11,11,0.08,5,0,Master,Medical,Single,0
45,92045,88656,48,572,16,9,0.52,5,1,Master,Medical,Single,0
58,125997,18334,24,721,1,3,0.38,3,1,Bachelor,Medical,Married,0
56,62222,33615,36,564,27,14,0.35,3,0,High School,Personal,Married,0
61,69223,12903,24,757,16,11,0.21,2,0,Bachelor,Personal,Married,0
43,130012,33527,60,511,20,4,0.09,7,0,High School,Personal,Married,1
48,131246,20629,48,377,6,7,0.34,7,1,High School,Personal,Single,0
56,85333,63008,12,520,5,2,0.57,1,0,Master,Business,Single,0
22,72732,88276,36,668,5,14,0.12,4,1,High School,Medical,Divorced,1
56,142650,31708,24,646,21,8,0.61,8,1,High School,Personal,Single,0
58,69420,15860,48,324,7,12,0.21,8,0,High School,Personal,Single,0
35,95504,22438,24,719,4,10,0.37,6,0,Bachelor,Education,Married,0
