fare_pkr,trip_duration_min,driver_rating,surge_multiplier,effective_fare,fare_per_min,fare_efficiency,Month,DayOfWeek,Hour_of_Day,Quarter,Is_Weekend,Is_Holiday,City_Raw_Lahore,City_Raw_Other,City_Raw_Peshawar,City_Raw_Quetta,Vehicle_Raw_SUV,Vehicle_Raw_Sedan,Vehicle_Raw_Van,Weather_Raw_Foggy,Weather_Raw_Rainy,Weather_Raw_Unknown,Weather_Raw_Windy,is_peak_hour,is_night_ride,is_high_surge,hour_sin,hour_cos,month_sin,month_cos
411.86,11.2,4.0,1.0,411.86,36.7732,411.86,1,6,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0.5,0.866025
664.7,21.6,4.2,1.0,664.7,30.7731,664.7,1,6,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.5,0.866025
576.36,33.3,4.3,1.0,576.36,17.3081,576.36,1,6,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,0.5,0.866025
673.6,33.7,4.2,1.0,673.6,19.9881,673.6,1,6,18,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
238.85,16.1,4.3,1.0,238.85,14.8354,238.85,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.0,1.0,0.5,0.866025
79.42,42.9,4.1,1.0,79.42,1.8513,79.42,1,0,6,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.5,0.866025
503.01,10.9,3.5,2.0,1006.02,46.1477,251.505,1,0,12,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,-1.0,0.5,0.866025
364.2,48.3,3.7,1.0,364.2,7.5404,364.2,1,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
101.77,6.0,4.3,1.0,101.77,16.9617,101.77,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1.0,0.5,0.866025
796.1,7.2,4.8,1.0,796.1,110.5694,796.1,1,1,6,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1.0,0.0,0.5,0.866025
695.1,1.2,5.0,1.0,695.1,579.25,695.1,1,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.0,0.5,0.866025
525.52,34.9,4.2,1.0,525.52,15.0579,525.52,1,1,18,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
273.11,11.9,3.9,1.2,327.73,22.9504,227.5916666666667,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0.0,1.0,0.5,0.866025
144.51,5.7,4.1,1.0,144.51,25.3526,144.51,1,2,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.5,0.866025
100.72,5.8,3.8,1.2,120.86,17.3655,83.93333333333334,1,2,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-1.0,0.5,0.866025
324.75,51.0,4.7,1.2,389.7,6.3676,270.625,1,2,18,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
620.05,39.5,5.0,1.0,620.05,15.6975,620.05,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0,1.0,0.5,0.866025
366.28,17.7,4.0,1.0,366.28,20.6938,366.28,1,3,6,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1.0,0.0,0.5,0.866025
565.22,21.1,3.7,1.5,847.83,26.7877,376.8133333333333,1,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,0.5,0.866025
579.39,14.1,4.8,1.0,579.39,41.0915,579.39,1,3,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
615.54,10.9,4.5,1.0,615.54,56.4716,615.54,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.5,0.866025
128.15,54.4,4.5,2.0,256.3,2.3557,64.075,1,4,6,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1.0,0.0,0.5,0.866025
287.22,3.0,5.0,1.0,287.22,95.74,287.22,1,4,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,0.5,0.866025
559.97,11.9,3.6,1.0,559.97,47.0563,559.97,1,4,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
881.31,9.3,3.6,2.0,1762.62,94.7645,440.655,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,0.5,0.866025
760.57,15.2,4.2,1.0,760.57,50.0375,760.57,1,5,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.5,0.866025
511.73,13.5,4.3,1.0,511.73,37.9059,511.73,1,5,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,0.5,0.866025
800.29,16.1,4.3,1.5,1200.44,49.7075,533.5266666666666,1,5,18,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
509.74,3.3,5.0,1.5,764.61,154.4667,339.82666666666665,1,6,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.5,0.866025
171.11,15.8,4.1,1.0,171.11,10.8297,171.11,1,6,6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.5,0.866025
610.33,6.1,4.0,1.0,610.33,100.0541,610.33,1,6,12,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-1.0,0.5,0.866025
773.53,4.5,4.4,1.5,1160.3,171.8956,515.6866666666666,1,6,18,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,-1.0,-0.0,0.5,0.866025
1016.44,1.5,4.8,1.2,1219.73,677.6267,847.0333333333334,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.0,1.0,0.5,0.866025
319.73,31.6,3.9,1.0,319.73,10.118,319.73,1,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.5,0.866025
224.18,12.3,4.2,1.0,224.18,18.226,224.18,1,0,12,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.0,0.5,0.866025
665.66,21.7,4.8,1.0,665.66,30.6756,665.66,1,0,18,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
543.12,28.6,4.8,1.5,814.68,18.9902,362.08,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.5,0.866025
518.52,25.0,4.4,1.5,777.78,20.7408,345.68,1,1,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.5,0.866025
805.84,14.0,5.0,2.0,1611.68,57.56,402.92,1,1,12,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,-1.0,0.5,0.866025
664.37,10.8,5.0,1.5,996.56,61.5157,442.91333333333336,1,1,18,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
569.01,10.4,3.6,1.0,569.01,54.7125,569.01,1,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0.5,0.866025
342.31,22.5,3.5,1.0,342.31,15.2138,342.31,1,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.5,0.866025
637.75,15.0,4.7,1.2,765.3,42.5167,531.4583333333334,1,2,12,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,-1.0,0.5,0.866025
218.64,41.6,5.0,1.2,262.37,5.2558,182.2,1,2,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
508.99,45.7,4.2,1.0,508.99,11.1376,508.99,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1.0,0.5,0.866025
432.25,4.1,4.0,1.0,432.25,105.4268,432.25,1,3,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0.0,0.5,0.866025
165.87,3.2,3.9,2.0,331.74,51.8344,82.935,1,3,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-1.0,0.5,0.866025
543.92,21.9,3.7,1.0,543.92,24.8365,543.92,1,3,18,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,-1.0,-0.0,0.5,0.866025
320.12,7.9,4.9,1.0,320.12,40.5215,320.12,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.5,0.866025
537.26,0.4,4.1,1.2,644.71,1343.15,447.7166666666667,1,4,6,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.5,0.866025
